User_Id,Location,Age,Username,Email,Password
1,"Semarang, Jawa Tengah",20,laura1197,laura1197@gmail.com,@!#z1&h<
2,"Bekasi, Jawa Barat",21,rangga7722,rangga7722@gmail.com,"""`4w-((_"
3,"Cirebon, Jawa Barat",23,david2172,david2172@gmail.com,+s$'GGg4
4,"Bekasi, Jawa Barat",21,sarah4802,sarah4802@gmail.com,fZ~@:I02
5,"Lampung, Sumatera Selatan",20,hamid7944,hamid7944@gmail.com,"oob9nf},"
6,"Jakarta Utara, DKI Jakarta",18,levina8004,levina8004@gmail.com,AgAU8r:Y
7,"Jakarta Selatan, DKI Jakarta",39,jane5533,jane5533@gmail.com,[%+]17iP
8,"Bandung, Jawa Barat",40,betty2279,betty2279@gmail.com,3z>V@9s=
9,"Surabaya, Jawa Timur",38,rangga4675,rangga4675@gmail.com,:f?<Ae59
10,"Bekasi, Jawa Barat",39,sarah3970,sarah3970@gmail.com,P/J_&^Cd
11,"Yogyakarta, DIY",20,rangga5921,rangga5921@gmail.com,uTZu;fe&
12,"Bogor, Jawa Barat",37,robert9834,robert9834@gmail.com,VT2`4mlQ
13,"Depok, Jawa Barat",18,levina3796,levina3796@gmail.com,n.ls8X-A
14,"Jakarta Pusat, DKI Jakarta",26,levina4842,levina4842@gmail.com,:PADP[~_
15,"Jakarta Timur, DKI Jakarta",34,steve6720,steve6720@gmail.com,-Y2DGqBC
16,"Bekasi, Jawa Barat",40,rangga6552,rangga6552@gmail.com,l/~wyiln
17,"Semarang, Jawa Tengah",31,paul8202,paul8202@gmail.com,%kF;$^BC
18,"Yogyakarta, DIY",39,alex6045,alex6045@gmail.com,QIPJi6O@
19,"Cirebon, Jawa Barat",26,sarah9911,sarah9911@gmail.com,P[Q[F6ib
20,"Lampung, Sumatera Selatan",30,paul4927,paul4927@gmail.com,hRBWq`xp
21,"Semarang, Jawa Tengah",30,rangga2231,rangga2231@gmail.com,<pc3*?9p
22,"Subang, Jawa Barat",25,john8819,john8819@gmail.com,nP2J;}tH
23,"Jakarta Barat, DKI Jakarta",37,steve7373,steve7373@gmail.com,=-sf&.FQ
24,"Bekasi, Jawa Barat",36,amy5406,amy5406@gmail.com,{.-rM[$e
25,"Lampung, Sumatera Selatan",40,robert5006,robert5006@gmail.com,=@{K/*'9
26,"Palembang, Sumatera Selatan",38,robert9690,robert9690@gmail.com,d?D)2EDj
27,"Bogor, Jawa Barat",22,paul2759,paul2759@gmail.com,s*1YNugk
28,"Sragen, Jawa Tengah",38,linda2760,linda2760@gmail.com,^nsqH/Z8
29,"Ponorogo, Jawa Timur",34,steve8482,steve8482@gmail.com,4)9)KE*7
30,"Depok, Jawa Barat",30,steve8019,steve8019@gmail.com,H].wqRl+
31,"Jakarta Selatan, DKI Jakarta",26,kevin3974,kevin3974@gmail.com,g1bpXfH:
32,"Bekasi, Jawa Barat",34,betty1380,betty1380@gmail.com,"+>R|$""OX"
33,"Ponorogo, Jawa Timur",24,sarah8708,sarah8708@gmail.com,-&-;WrKt
34,"Sragen, Jawa Tengah",31,jane3513,jane3513@gmail.com,|mG~{*PP
35,"Klaten, Jawa Tengah",24,hamid3936,hamid3936@gmail.com,"4[|-""L[g"
